season,Date,HomeTeam,AwayTeam,FTR,dc_pA,dc_pD,dc_pH,dcx_pA,dcx_pD,dcx_pH
2020-21,2020-09-12,Fulham,Arsenal,A,0.6739,0.1975,0.1286,0.29,0.26,0.45
2020-21,2020-09-12,Liverpool,Leeds,H,0.29,0.26,0.45,0.29,0.26,0.45
2020-21,2020-09-12,Crystal Palace,Southampton,H,0.3185,0.2921,0.3894,0.29,0.26,0.45
2020-21,2020-09-12,West Ham,Newcastle,A,0.2572,0.2716,0.4712,0.29,0.26,0.45
2020-21,2020-09-12,Cadiz,Osasuna,A,0.29,0.26,0.45,0.29,0.26,0.45
2020-21,2020-09-12,Granada,Ath Bilbao,H,0.2869,0.3023,0.4108,0.29,0.26,0.45
2020-21,2020-09-12,Eibar,Celta,D,0.2952,0.2808,0.4241,0.29,0.26,0.45
2020-21,2020-09-13,Tottenham,Everton,A,0.1638,0.2342,0.602,0.29,0.26,0.45
2020-21,2020-09-13,Villarreal,Huesca,D,0.1521,0.2043,0.6436,0.29,0.26,0.45
2020-21,2020-09-13,West Brom,Leicester,A,0.4568,0.2945,0.2487,0.29,0.26,0.45
2020-21,2020-09-13,Alaves,Betis,A,0.3478,0.2909,0.3613,0.29,0.26,0.45
2020-21,2020-09-13,Valencia,Levante,H,0.2361,0.2547,0.5093,0.29,0.26,0.45
2020-21,2020-09-13,Valladolid,Sociedad,D,0.3851,0.3192,0.2956,0.29,0.26,0.45
2020-21,2020-09-14,Brighton,Chelsea,A,0.5227,0.2625,0.2148,0.29,0.26,0.45
2020-21,2020-09-14,Sheffield United,Wolves,A,0.3132,0.3542,0.3326,0.29,0.26,0.45
2020-21,2020-09-18,Bayern Munich,Schalke 04,H,0.0379,0.1019,0.8602,0.29,0.26,0.45
2020-21,2020-09-19,Celta,Valencia,H,0.3603,0.2831,0.3566,0.29,0.26,0.45
2020-21,2020-09-19,Arsenal,West Ham,H,0.1734,0.2134,0.6132,0.29,0.26,0.45
2020-21,2020-09-19,Man United,Crystal Palace,A,0.1199,0.2242,0.6559,0.29,0.26,0.45
2020-21,2020-09-19,Leeds,Fulham,H,0.29,0.26,0.45,0.29,0.26,0.45
2020-21,2020-09-19,Everton,West Brom,H,0.2002,0.2892,0.5106,0.29,0.26,0.45
2020-21,2020-09-19,Getafe,Osasuna,H,0.1971,0.2808,0.5222,0.29,0.26,0.45
2020-21,2020-09-19,Union Berlin,Augsburg,A,0.3063,0.2672,0.4265,0.29,0.26,0.45
2020-21,2020-09-19,Werder Bremen,Hertha,A,0.3047,0.2587,0.4366,0.29,0.26,0.45
2020-21,2020-09-19,Stuttgart,Freiburg,A,0.3794,0.292,0.3286,0.29,0.26,0.45
2020-21,2020-09-19,FC Koln,Hoffenheim,A,0.4611,0.233,0.3059,0.29,0.26,0.45
2020-21,2020-09-19,Ein Frankfurt,Bielefeld,D,0.29,0.26,0.45,0.29,0.26,0.45
2020-21,2020-09-19,Dortmund,M'gladbach,H,0.2149,0.2251,0.56,0.29,0.26,0.45
2020-21,2020-09-19,Villarreal,Eibar,H,0.1915,0.2448,0.5636,0.29,0.26,0.45
2020-21,2020-09-20,Southampton,Tottenham,A,0.4818,0.2609,0.2573,0.29,0.26,0.45
2020-21,2020-09-20,Leicester,Burnley,H,0.1904,0.2566,0.553,0.29,0.26,0.45
2020-21,2020-09-20,Chelsea,Liverpool,A,0.4691,0.252,0.2789,0.29,0.26,0.45
2020-21,2020-09-20,Betis,Valladolid,H,0.2469,0.3062,0.4469,0.29,0.26,0.45
2020-21,2020-09-20,Newcastle,Brighton,A,0.2441,0.3061,0.4497,0.29,0.26,0.45
2020-21,2020-09-20,Granada,Alaves,H,0.1913,0.2656,0.5431,0.29,0.26,0.45
2020-21,2020-09-20,Huesca,Cadiz,A,0.29,0.26,0.45,0.29,0.26,0.45
2020-21,2020-09-20,Wolfsburg,Leverkusen,D,0.3737,0.2616,0.3647,0.29,0.26,0.45
2020-21,2020-09-20,RB Leipzig,Mainz,H,0.0976,0.1699,0.7325,0.29,0.26,0.45
2020-21,2020-09-20,Sociedad,Real Madrid,D,0.5149,0.2513,0.2338,0.29,0.26,0.45
2020-21,2020-09-21,Aston Villa,Sheffield United,H,0.399,0.3267,0.2743,0.29,0.26,0.45
2020-21,2020-09-21,Wolves,Man City,A,0.5735,0.2506,0.1759,0.29,0.26,0.45
2020-21,2020-09-25,Hertha,Ein Frankfurt,A,0.3451,0.255,0.3999,0.29,0.26,0.45
2020-21,2020-09-26,M'gladbach,Union Berlin,D,0.1465,0.2199,0.6336,0.29,0.26,0.45
2020-21,2020-09-26,Burnley,Southampton,A,0.2944,0.2807,0.4249,0.29,0.26,0.45
2020-21,2020-09-26,West Brom,Chelsea,D,0.6082,0.2242,0.1676,0.29,0.26,0.45
2020-21,2020-09-26,Crystal Palace,Everton,A,0.3323,0.3048,0.363,0.29,0.26,0.45
2020-21,2020-09-26,Brighton,Man United,A,0.526,0.2746,0.1993,0.29,0.26,0.45
2020-21,2020-09-26,Betis,Real Madrid,A,0.6014,0.2269,0.1717,0.29,0.26,0.45
2020-21,2020-09-26,Alaves,Getafe,D,0.4117,0.3382,0.2501,0.29,0.26,0.45
2020-21,2020-09-26,Valencia,Huesca,D,0.1593,0.2228,0.618,0.29,0.26,0.45
2020-21,2020-09-26,Mainz,Stuttgart,A,0.2437,0.2679,0.4884,0.29,0.26,0.45
2020-21,2020-09-26,Leverkusen,RB Leipzig,D,0.4019,0.2582,0.3399,0.29,0.26,0.45
2020-21,2020-09-26,Bielefeld,FC Koln,H,0.3588,0.3477,0.2935,0.29,0.26,0.45
2020-21,2020-09-26,Augsburg,Dortmund,H,0.6117,0.2066,0.1818,0.29,0.26,0.45
2020-21,2020-09-26,Elche,Sociedad,A,0.4598,0.2852,0.2549,0.29,0.26,0.45
2020-21,2020-09-26,Schalke 04,Werder Bremen,A,0.3458,0.274,0.3802,0.29,0.26,0.45
2020-21,2020-09-27,Sheffield United,Leeds,A,0.2839,0.2332,0.483,0.29,0.26,0.45
2020-21,2020-09-27,Tottenham,Newcastle,D,0.1321,0.2238,0.6441,0.29,0.26,0.45
2020-21,2020-09-27,West Ham,Wolves,H,0.399,0.2933,0.3077,0.29,0.26,0.45
2020-21,2020-09-27,Man City,Leicester,A,0.0895,0.1568,0.7537,0.29,0.26,0.45
2020-21,2020-09-27,Hoffenheim,Bayern Munich,H,0.6602,0.1883,0.1514,0.29,0.26,0.45
2020-21,2020-09-27,Barcelona,Villarreal,H,0.1141,0.1708,0.7151,0.29,0.26,0.45
2020-21,2020-09-27,Freiburg,Wolfsburg,D,0.3441,0.2833,0.3726,0.29,0.26,0.45
2020-21,2020-09-27,Cadiz,Sevilla,A,0.4453,0.3267,0.2279,0.29,0.26,0.45
2020-21,2020-09-27,Ath Madrid,Granada,H,0.1484,0.2715,0.58,0.29,0.26,0.45
2020-21,2020-09-27,Eibar,Ath Bilbao,A,0.3268,0.3188,0.3544,0.29,0.26,0.45
2020-21,2020-09-27,Osasuna,Levante,A,0.3126,0.2548,0.4326,0.29,0.26,0.45
2020-21,2020-09-27,Valladolid,Celta,D,0.3296,0.3257,0.3447,0.29,0.26,0.45
2020-21,2020-09-28,Fulham,Aston Villa,A,0.4004,0.2823,0.3173,0.29,0.26,0.45
2020-21,2020-09-28,Liverpool,Arsenal,H,0.1677,0.2177,0.6146,0.29,0.26,0.45
2020-21,2020-09-29,Sociedad,Valencia,A,0.2926,0.2761,0.4314,0.29,0.26,0.45
2020-21,2020-09-29,Getafe,Betis,H,0.2177,0.2952,0.4871,0.29,0.26,0.45
2020-21,2020-09-30,Eibar,Elche,A,0.2124,0.285,0.5026,0.29,0.26,0.45
2020-21,2020-09-30,Villarreal,Alaves,H,0.1546,0.2418,0.6036,0.29,0.26,0.45
2020-21,2020-09-30,Huesca,Ath Madrid,D,0.6226,0.2464,0.1309,0.29,0.26,0.45
2020-21,2020-09-30,Real Madrid,Valladolid,H,0.0789,0.1975,0.7236,0.29,0.26,0.45
2020-21,2020-10-01,Ath Bilbao,Cadiz,A,0.1992,0.3436,0.4572,0.29,0.26,0.45
2020-21,2020-10-01,Sevilla,Levante,H,0.184,0.2317,0.5843,0.29,0.26,0.45
2020-21,2020-10-01,Celta,Barcelona,A,0.6654,0.195,0.1396,0.29,0.26,0.45
2020-21,2020-10-02,Union Berlin,Mainz,H,0.3201,0.276,0.4039,0.29,0.26,0.45
2020-21,2020-10-03,Sociedad,Getafe,H,0.2965,0.3189,0.3846,0.29,0.26,0.45
2020-21,2020-10-03,Newcastle,Burnley,H,0.3027,0.3076,0.3898,0.29,0.26,0.45
2020-21,2020-10-03,Leeds,Man City,D,0.8301,0.0942,0.0757,0.29,0.26,0.45
2020-21,2020-10-03,Everton,Brighton,H,0.2098,0.2787,0.5115,0.29,0.26,0.45
2020-21,2020-10-03,Chelsea,Crystal Palace,H,0.1616,0.2368,0.6017,0.29,0.26,0.45
2020-21,2020-10-03,Valencia,Betis,A,0.2363,0.2586,0.5051,0.29,0.26,0.45
2020-21,2020-10-03,Elche,Huesca,D,0.298,0.2853,0.4166,0.29,0.26,0.45
2020-21,2020-10-03,Ath Madrid,Villarreal,D,0.1669,0.2732,0.5598,0.29,0.26,0.45
2020-21,2020-10-03,RB Leipzig,Schalke 04,H,0.0846,0.1663,0.7492,0.29,0.26,0.45
