season,league,tier,competition_type,Div,Date,Time,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,B365CH,B365CD,B365CA,AvgH,AvgD,AvgA,AvgCH,AvgCD,AvgCA,B365>2.5,B365<2.5,B365C>2.5,B365C<2.5
2020-21,La Liga,1,league,SP1,2020-09-12,15:00,Eibar,Celta,,0,0,D,0.0,0.0,D,8.0,6.0,1.0,3.0,3.0,3.0,17.0,13.0,4.0,4.0,1.0,0.0,2.5,3.25,2.9,2.62,3.1,2.8,2.53,3.16,2.97,2.75,3.01,2.83,2.3,1.61,2.5,1.53
2020-21,La Liga,1,league,SP1,2020-09-12,17:30,Granada,Ath Bilbao,,2,0,H,0.0,0.0,D,4.0,9.0,2.0,2.0,1.0,2.0,8.0,10.0,3.0,4.0,0.0,0.0,2.75,3.1,2.75,2.5,2.9,3.2,2.82,3.0,2.75,2.65,2.86,3.12,2.5,1.53,3.2,1.36
2020-21,La Liga,1,league,SP1,2020-09-12,20:00,Cadiz,Osasuna,,0,2,A,0.0,1.0,A,12.0,6.0,3.0,4.0,6.0,2.0,14.0,21.0,2.0,2.0,0.0,0.0,2.8,3.0,2.75,3.2,2.9,2.5,2.8,2.95,2.82,3.21,2.81,2.63,2.75,1.44,3.2,1.36
2020-21,Premier League,1,league,E0,2020-09-12,12:30,Fulham,Arsenal,C Kavanagh,0,3,A,0.0,1.0,A,5.0,13.0,2.0,6.0,2.0,3.0,12.0,12.0,2.0,2.0,0.0,0.0,6.0,4.33,1.53,5.0,4.0,1.66,5.94,4.34,1.55,5.36,3.93,1.67,1.72,2.1,2.0,1.8
2020-21,Premier League,1,league,E0,2020-09-12,15:00,Crystal Palace,Southampton,J Moss,1,0,H,1.0,0.0,H,5.0,9.0,3.0,5.0,7.0,3.0,14.0,11.0,2.0,1.0,0.0,0.0,3.1,3.25,2.37,3.0,3.25,2.4,3.18,3.22,2.39,3.08,3.22,2.47,2.2,1.66,2.2,1.66
2020-21,Premier League,1,league,E0,2020-09-12,17:30,Liverpool,Leeds,M Oliver,4,3,H,3.0,2.0,H,22.0,6.0,6.0,3.0,9.0,0.0,9.0,6.0,1.0,0.0,0.0,0.0,1.28,6.0,9.5,1.25,6.0,11.0,1.3,5.96,9.68,1.28,6.16,10.63,1.53,2.5,1.5,2.62
2020-21,Premier League,1,league,E0,2020-09-12,20:00,West Ham,Newcastle,S Attwell,0,2,A,0.0,0.0,D,15.0,15.0,3.0,2.0,8.0,7.0,13.0,7.0,2.0,2.0,0.0,0.0,2.15,3.4,3.4,1.95,3.6,3.75,2.15,3.48,3.42,2.01,3.57,3.79,1.9,1.9,1.9,1.9
2020-21,La Liga,1,league,SP1,2020-09-13,13:00,Alaves,Betis,,0,1,A,0.0,0.0,D,7.0,11.0,2.0,4.0,6.0,4.0,19.0,17.0,3.0,3.0,0.0,0.0,2.8,3.2,2.6,3.3,3.1,2.35,2.83,3.21,2.59,3.35,3.1,2.35,2.2,1.66,2.37,1.57
2020-21,La Liga,1,league,SP1,2020-09-13,15:00,Valladolid,Sociedad,,1,1,D,1.0,0.0,H,8.0,8.0,3.0,2.0,5.0,3.0,15.0,17.0,4.0,1.0,0.0,0.0,2.8,3.2,2.6,3.0,3.0,2.55,2.88,3.2,2.55,3.04,2.88,2.69,2.3,1.61,3.2,1.36
2020-21,La Liga,1,league,SP1,2020-09-13,17:30,Villarreal,Huesca,,1,1,D,0.0,1.0,A,15.0,10.0,4.0,3.0,6.0,6.0,10.0,22.0,1.0,1.0,0.0,0.0,1.57,4.0,6.0,1.5,4.33,6.5,1.57,4.1,5.92,1.54,4.23,6.26,1.9,1.9,1.9,1.9
