date,team,opponent,elo,opp_elo
2020-09-03,Germany,Spain,2013.9,2077.7
2020-09-03,Spain,Germany,2077.7,2013.9
2020-09-03,Ukraine,Switzerland,1896.9,1952.9
2020-09-03,Switzerland,Ukraine,1952.9,1896.9
2020-09-03,Russia,Serbia,1848.5,1830.5
2020-09-03,Serbia,Russia,1830.5,1848.5
2020-09-03,Turkey,Hungary,1828.6,1668.5
2020-09-03,Hungary,Turkey,1668.5,1828.6
2020-09-03,Bulgaria,Republic of Ireland,1617.8,1780.5
2020-09-03,Republic of Ireland,Bulgaria,1780.5,1617.8
2020-09-03,Finland,Wales,1699.1,1824.4
2020-09-03,Wales,Finland,1824.4,1699.1
2020-09-03,Moldova,Kosovo,1280.1,1631.1
2020-09-03,Kosovo,Moldova,1631.1,1280.1
2020-09-03,Slovenia,Greece,1626.3,1660.7
2020-09-03,Greece,Slovenia,1660.7,1626.3
2020-09-03,Latvia,Andorra,1306.3,1150.3
2020-09-03,Andorra,Latvia,1150.3,1306.3
2020-09-03,Faroe Islands,Malta,1271.1,1211.6
2020-09-03,Malta,Faroe Islands,1211.6,1271.1
2020-09-04,Italy,Bosnia and Herzegovina,2018.1,1734.1
2020-09-04,Bosnia and Herzegovina,Italy,1734.1,2018.1
2020-09-04,Netherlands,Poland,2060.7,1841.2
2020-09-04,Poland,Netherlands,1841.2,2060.7
2020-09-04,Norway,Austria,1763.7,1782.4
2020-09-04,Austria,Norway,1782.4,1763.7
2020-09-04,Romania,Northern Ireland,1741.8,1722.8
2020-09-04,Northern Ireland,Romania,1722.8,1741.8
2020-09-04,Scotland,Israel,1688.9,1581.6
2020-09-04,Israel,Scotland,1581.6,1688.9
2020-09-04,Slovakia,Czech Republic,1778.3,1774.2
2020-09-04,Czech Republic,Slovakia,1774.2,1778.3
2020-09-04,Lithuania,Kazakhstan,1360.2,1407.4
2020-09-04,Kazakhstan,Lithuania,1407.4,1360.2
2020-09-04,Belarus,Albania,1536.1,1579.0
2020-09-04,Albania,Belarus,1579.0,1536.1
2020-09-05,Iceland,England,1744.8,2013.4
2020-09-05,England,Iceland,2013.4,1744.8
2020-09-05,Denmark,Belgium,1936.5,2139.8
2020-09-05,Belgium,Denmark,2139.8,1936.5
2020-09-05,Portugal,Croatia,2028.7,1969.9
2020-09-05,Croatia,Portugal,1969.9,2028.7
2020-09-05,Sweden,France,1910.2,2096.8
