understat_name,canonical_name
Arnaud Kalimuendo Muinga,Arnaud Kalimuendo
Arnaut Danjuma Groeneveld,Arnaut Danjuma
Ayoube Amaimouni-Echghouyab,Ayoube Amaimouni
Eren Sami Dinkci,Eren Dinkçi
Eric Junior Dina Ebimbe,Junior Dina Ebimbe
Ezri Konsa Ngoyo,Ezri Konsa
Iyenoma Destiny Udogie,Destiny Udogie
José Gayá,Jose Gaya
Kylian Mbappe-Lottin,Kylian Mbappé
Luiz Júnior,Luiz Junior
Nicolas Kühn,Nicolas Kuhn
Orri Óskarsson,Orri Oskarsson
Pablo Barrios Rivas,Pablo Barrios
Pape Alassane Gueye,Pape Gueye
Terem Igobor Moffi,Terem Moffi
Ísak Bergmann Jóhannesson,Ísak Jóhannesson
