player_name,season,joined,fee_eur,fee_is_loan,fee_is_free
Anthony Losilla,2014-15,VfL Bochum,,0,1
Gaetano Berardi,2014-15,Leeds,100000.0,0,0
Liam Cooper,2014-15,Leeds,750000.0,0,0
Stuart Dallas,2015-16,Leeds,1900000.0,0,0
Claudio Terzi,2015-16,Spezia Calcio,,0,1
Marco Modolo,2015-16,Venezia,,0,1
Kalvin Phillips,2015-16,Leeds,,0,1
Manuel Riemann,2015-16,VfL Bochum,,0,1
Alberto Cifuentes,2015-16,Cádiz CF,,0,1
Jonathan Iglesias,2016-17,Clermont Foot,,0,1
Nino,2016-17,Elche CF,,0,1
Rico Henry,2016-17,Brentford,1800000.0,0,0
Giulio Maggiore,2016-17,Spezia Calcio,,0,1
Giuseppe Mastinu,2016-17,Spezia Calcio,,0,1
Ezgjan Alioski,2017-18,Leeds,2500000.0,0,0
Jerome Phojo,2017-18,Clermont Foot,,0,0
Gonzalo Verdú,2017-18,Elche CF,,0,1
Gennaro Acampora,2017-18,Spezia Calcio,,1,0
Emmanuel Gyasi,2017-18,Spezia Calcio,,1,0
Marcos Mauro,2017-18,Cádiz CF,,0,1
Josan,2017-18,Elche CF,,0,1
Kyle Edwards,2017-18,West Brom,,0,1
Maxim Leitsch,2017-18,VfL Bochum,,0,1
Mathieu Coutadeur,2017-18,AC Ajaccio,,0,0
Ryan Yates,2017-18,Nott'm Forest,,1,0
Franklin Wadja,2017-18,FC Lorient,,0,1
Álex Fernández,2017-18,Cádiz CF,,0,1
Mateusz Klich,2017-18,Leeds,1700000.0,0,0
David Gil,2018-19,Cádiz CF,,0,1
Riccardo Improta,2018-19,Benevento,,0,1
Josue Albert,2018-19,Clermont Foot,,0,1
Remy Dugimont,2018-19,AJ Auxerre,,0,0
Michele Castagnetti,2018-19,Cremonese,1000000.0,0,0
Matteo Ricci,2018-19,Spezia Calcio,1000.0,0,0
Tomislav Gomelt,2018-19,Crotone,,0,1
César de la Hoz,2018-19,UD Almería,,0,1
Paolo Bartolomei,2018-19,Spezia Calcio,200000.0,0,0
Qazim Laci,2018-19,AC Ajaccio,,0,1
