player_name,season,joined,market_value_eur
Junior Mwanga,2026-27,Le Havre AC,6000000.0
Junior Mwanga,2025-26,R. Strasbourg,7000000.0
Junior Mwanga,2025-26,FC Nantes,6000000.0
Junior Mwanga,2024-25,R. Strasbourg,6000000.0
Junior Mwanga,2024-25,Le Havre AC,6000000.0
Junior Mwanga,2023-24,R. Strasbourg,4000000.0
Junior Mwanga,2022-23,G. Bordeaux,200000.0
Édgar Badía,2026-27,CD Mirandés,400000.0
Édgar Badía,2025-26,CyD Leonesa,600000.0
Édgar Badía,2024-25,CD Tenerife,1000000.0
Édgar Badía,2024-25,Without Club,1400000.0
Édgar Badía,2023-24,Elche CF,1400000.0
Édgar Badía,2023-24,Real Zaragoza,2000000.0
Édgar Badía,2018-19,Elche CF,800000.0
Joël Veltman,2026-27,West Ham,1500000.0
Joël Veltman,2020-21,Brighton,8000000.0
Joël Veltman,2012-13,Ajax,50000.0
Anthony Losilla,2025-26,Retired,500000.0
Anthony Losilla,2014-15,VfL Bochum,650000.0
Anthony Losilla,2012-13,Dynamo Dresden,600000.0
Fransergio,2024-25,Operário-PR,200000.0
Fransergio,2024-25,Marítimo,700000.0
Fransergio,2023-24,Coritiba FC,1200000.0
Fransergio,2021-22,G. Bordeaux,5000000.0
Fransergio,2017-18,Braga,2000000.0
Fransergio,2011-12,Criciúma,250000.0
Fransergio,2011-12,Internacional,250000.0
Romaine Sawyers,2025-26,Without Club,150000.0
Romaine Sawyers,2024-25,Bristol Rovers,200000.0
Romaine Sawyers,2024-25,AFC Wimbledon,400000.0
Romaine Sawyers,2024-25,Without Club,500000.0
Romaine Sawyers,2022-23,Cardiff,1200000.0
Romaine Sawyers,2021-22,West Brom,1200000.0
Romaine Sawyers,2021-22,Stoke City,2000000.0
Romaine Sawyers,2019-20,West Brom,3000000.0
Romaine Sawyers,2016-17,Brentford,500000.0
Romaine Sawyers,2013-14,Walsall,50000.0
Romaine Sawyers,2012-13,West Brom U21,50000.0
Romaine Sawyers,2012-13,Walsall,50000.0
Romaine Sawyers,2011-12,West Brom Res.,50000.0
Romaine Sawyers,2011-12,Shrewsbury,50000.0
Romaine Sawyers,2010-11,West Brom Res.,50000.0
Romaine Sawyers,2010-11,Port Vale,50000.0
Kevin Behrens,2025-26,FC Lugano,1000000.0
Kevin Behrens,2023-24,Wolfsburg,4000000.0
Kevin Behrens,2021-22,Union Berlin,900000.0
Kevin Behrens,2018-19,SV Sandhausen,200000.0
Kevin Behrens,2015-16,Saarbrücken,125000.0
Kevin Behrens,2015-16,RW Essen,150000.0
Kevin Behrens,2014-15,Alem. Aachen,100000.0
Kevin Behrens,2012-13,Hannover 96 II,100000.0
Cimo Röcker,2021-22,Hertha BSC II,125000.0
Cimo Röcker,2018-19,Viktoria Berlin,100000.0
Cimo Röcker,2015-16,Fortuna Köln,75000.0
Cimo Röcker,2015-16,Without Club,75000.0
Cimo Röcker,2014-15,Hannover 96 II,150000.0
Cimo Röcker,2012-13,Werder Bremen,150000.0
Ivan Ordets,2025-26,Aktobe,750000.0
Ivan Ordets,2025-26,Without Club,1000000.0
Ivan Ordets,2024-25,VfL Bochum,2500000.0
Ivan Ordets,2023-24,Dynamo Moscow,2500000.0
Ivan Ordets,2022-23,VfL Bochum,5000000.0
Ivan Ordets,2019-20,Dinamo Moscow,1500000.0
Ivan Ordets,2014-15,Shakhtar D.,1000000.0
Ivan Ordets,2013-14,Shakhtar U21,1000000.0
Ivan Ordets,2012-13,Illichivets,100000.0
Ivan Ordets,2010-11,Shakhtar U21,100000.0
Philipp Hofmann,2022-23,VfL Bochum,2000000.0
Philipp Hofmann,2019-20,Karlsruher SC,500000.0
Philipp Hofmann,2017-18,E. Braunschweig,750000.0
Philipp Hofmann,2017-18,Greuther Fürth,1000000.0
Philipp Hofmann,2015-16,Brentford,1000000.0
Philipp Hofmann,2014-15,1.FC K'lautern,1000000.0
Philipp Hofmann,2013-14,FC Schalke 04,1000000.0
Philipp Hofmann,2013-14,FC Ingolstadt,600000.0
Philipp Hofmann,2012-13,FC Schalke 04,600000.0
Philipp Hofmann,2012-13,SC Paderborn,200000.0
Philipp Hofmann,2012-13,FC Schalke 04,100000.0
Riad Nouri,2020-21,AC Ajaccio,275000.0
Riad Nouri,2019-20,Ümraniyespor,600000.0
Riad Nouri,2015-16,AC Ajaccio,600000.0
Riad Nouri,2013-14,Nîmes Olympique,500000.0
Riad Nouri,2012-13,Le Havre AC,500000.0
Riad Nouri,2012-13,Nîmes Olympique,700000.0
Riad Nouri,2012-13,Le Havre AC,700000.0
Jóan Símun Edmundsson,2024-25,KA Akureyri,125000.0
Jóan Símun Edmundsson,2023-24,FC Shkupi,150000.0
Jóan Símun Edmundsson,2023-24,KA Akureyri,200000.0
Jóan Símun Edmundsson,2021-22,Waasland-Beveren,500000.0
Jóan Símun Edmundsson,2018-19,Arm. Bielefeld,500000.0
Jóan Símun Edmundsson,2015-16,Odense BK,200000.0
Jóan Símun Edmundsson,2014-15,Vejle BK,100000.0
Jóan Símun Edmundsson,2013-14,HB Tórshavn,100000.0
Jóan Símun Edmundsson,2013-14,AB Argir,100000.0
Jóan Símun Edmundsson,2012-13,Viking FK,100000.0
