league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,src_league
ENG-Premier League,2020-21,Arsenal,Ainsley Maitland-Niles,1,2020,83,1750,D M S,26,1719,0,0.7961909975856543,0,0.7961909975856543,0,0.8219910915941,12,6,2,0,5.968474563211203,5.0518849808722734,ENG1
ENG-Premier League,2020-21,Arsenal,Alexandre Lacazette,1,2020,83,3277,F M S,31,1939,13,12.02891095355153,10,9.745402950793505,2,2.2092133089900017,45,22,3,0,14.361543761566281,2.937945641577244,ENG1
ENG-Premier League,2020-21,Arsenal,Bernd Leno,1,2020,83,181,GK,35,3136,0,0.0,0,0.0,0,0.0,0,0,0,1,4.326597798615694,4.326597798615694,ENG1
ENG-Premier League,2020-21,Arsenal,Bukayo Saka,1,2020,83,7322,D F M S,32,2577,5,7.169173154979944,5,7.169173154979944,3,4.511790509335697,61,38,1,0,18.292466957122087,9.18044448364526,ENG1
ENG-Premier League,2020-21,Arsenal,Calum Chambers,1,2020,83,508,D S,10,750,0,0.3639728929847479,0,0.3639728929847479,2,1.0427637845277786,8,11,0,0,3.8356559574604034,2.8100062385201454,ENG1
ENG-Premier League,2020-21,Arsenal,Cédric Soares,1,2020,83,847,D S,10,746,0,0.20354269538074732,0,0.20354269538074732,1,0.8928053807467222,7,6,1,0,3.335597813129425,2.919353038072586,ENG1
ENG-Premier League,2020-21,Arsenal,Dani Ceballos,1,2020,83,2446,M S,25,1613,0,0.6592578887939453,0,0.6592578887939453,3,2.578972002491355,13,27,4,0,9.275819662958384,8.116629021242261,ENG1
ENG-Premier League,2020-21,Arsenal,David Luiz,1,2020,83,1676,D S,20,1410,1,0.6695672031491995,1,0.6695672031491995,0,0.5240253880620003,15,2,1,1,4.749539636075497,4.629008233547211,ENG1
ENG-Premier League,2020-21,Arsenal,Eddie Nketiah,1,2020,83,6482,F S,17,405,2,2.022098023444414,2,2.022098023444414,1,0.7423548139631748,12,8,0,0,2.0772799979895353,0.22055049799382687,ENG1
ENG-Premier League,2020-21,Arsenal,Emile Smith-Rowe,1,2020,83,7230,M S,20,1456,2,1.592160290107131,2,1.592160290107131,4,3.622620165348053,13,27,0,0,9.538249481469393,5.6345065496861935,ENG1
ENG-Premier League,2020-21,Arsenal,Gabriel,1,2020,83,5613,D S,23,1994,2,1.5645487178117037,2,1.5645487178117037,0,0.05609600059688091,16,2,2,1,5.762659789994359,5.748225750401616,ENG1
ENG-Premier League,2020-21,Arsenal,Gabriel Martinelli,1,2020,83,7752,F M S,14,581,2,3.2524473667144775,2,3.2524473667144775,1,1.7456525303423405,20,9,0,0,6.1597150303423405,1.7565969750285149,ENG1
ENG-Premier League,2020-21,Arsenal,Granit Xhaka,1,2020,83,204,D M S,31,2537,1,0.7788539975881577,1,0.7788539975881577,2,1.4596665930002928,21,17,7,1,13.89865631237626,12.85003492794931,ENG1
ENG-Premier League,2020-21,Arsenal,Héctor Bellerín,1,2020,83,492,D S,25,2098,1,0.8602303061634302,1,0.8602303061634302,2,2.1715131886303425,15,21,8,0,8.0598920956254,6.266995308920741,ENG1
ENG-Premier League,2020-21,Arsenal,Joe Willock,1,2020,83,6630,M S,21,1215,8,5.088086500763893,8,4.326921537518501,0,0.733700979501009,23,10,1,0,7.007068745791912,2.9877239307388663,ENG1
ENG-Premier League,2020-21,Arsenal,Kieran Tierney,1,2020,83,8089,D S,27,2305,1,0.3866765992715955,1,0.3866765992715955,3,3.8238940481096506,15,31,4,0,8.635928499512374,5.60839013569057,ENG1
ENG-Premier League,2020-21,Arsenal,Martin Odegaard,1,2020,83,2517,M S,14,865,1,0.618740500882268,1,0.618740500882268,2,1.9558854773640633,15,19,0,0,5.297232031822205,4.07069668546319,ENG1
ENG-Premier League,2020-21,Arsenal,Mat Ryan,1,2020,83,2385,GK,14,1260,0,0.0,0,0.0,0,0.06032729893922806,0,1,1,0,1.6561840623617172,1.6561840623617172,ENG1
ENG-Premier League,2020-21,Arsenal,Mohamed Elneny,1,2020,83,496,M S,23,1540,1,0.4756157035008073,1,0.4756157035008073,0,0.2569415085017681,9,4,3,0,5.195760786533356,4.651168327778578,ENG1
ENG-Premier League,2020-21,Arsenal,Nicolas Pepe,1,2020,83,5656,F M S,29,1602,10,6.000205853953958,9,5.23903716634959,1,1.0121595980599523,47,11,1,1,9.359735170379281,4.2177279610186815,ENG1
ENG-Premier League,2020-21,Arsenal,Pablo Marí,1,2020,83,8380,D,10,900,0,0.04052269924432039,0,0.04052269924432039,0,0.05424389988183975,2,1,2,0,3.6049748361110687,3.590737834572792,ENG1
ENG-Premier League,2020-21,Arsenal,Pierre-Emerick Aubameyang,1,2020,83,318,F M S,29,2333,10,10.450049884617329,8,8.92772065103054,3,2.4313496705144644,57,22,2,0,15.113904694095254,3.955130212008953,ENG1
ENG-Premier League,2020-21,Arsenal,Reiss Nelson,1,2020,83,6492,S,2,59,0,0.05691710114479065,0,0.05691710114479065,0,0.0,1,0,0,0,0.3480401039123535,0.29112300276756287,ENG1
ENG-Premier League,2020-21,Arsenal,Rob Holding,1,2020,83,1749,D S,30,2548,0,0.7339214868843555,0,0.7339214868843555,1,0.20068280026316643,14,4,2,0,7.403348095715046,7.163188092410564,ENG1
ENG-Premier League,2020-21,Arsenal,Rúnar Alex Rúnarsson,1,2020,83,6875,S,1,11,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,ENG1
ENG-Premier League,2020-21,Arsenal,Sead Kolasinac,1,2020,83,342,D,1,90,0,0.0,0,0.0,0,0.0,0,0,0,0,0.42935800552368164,0.42935800552368164,ENG1
ENG-Premier League,2020-21,Arsenal,Shkodran Mustafi,1,2020,83,1699,S,3,43,0,0.0,0,0.0,0,0.0,0,0,0,0,0.06472480297088623,0.06472480297088623,ENG1
ENG-Premier League,2020-21,Arsenal,Thomas Partey,1,2020,83,2328,M S,24,1543,0,1.157276201993227,0,1.157276201993227,2,1.1210453063249588,26,12,5,0,7.274703920818865,5.83660644851625,ENG1
ENG-Premier League,2020-21,Arsenal,Willian,1,2020,83,700,F M S,25,1413,1,1.8349484112113714,1,1.8349484112113714,5,3.591709390282631,20,32,0,0,7.110169928520918,3.815574500709772,ENG1
ENG-Premier League,2020-21,Aston Villa,Ahmed Elmohamady,1,2020,71,1685,D S,14,823,0,0.34127279929816723,0,0.34127279929816723,0,0.9894655756652355,9,13,2,0,2.426967915147543,1.610212106257677,ENG1
ENG-Premier League,2020-21,Aston Villa,Anwar El Ghazi,1,2020,71,5612,F M S,28,1612,10,9.037513121031225,6,5.9928371934220195,0,1.882866207510233,64,26,2,0,7.845566677860916,2.691346569918096,ENG1
ENG-Premier League,2020-21,Aston Villa,Bertrand Traoré,1,2020,71,695,F M S,36,2362,7,6.304104885086417,7,6.304104885086417,6,4.570988927036524,64,35,1,0,9.835362154990435,1.3322146972641349,ENG1
ENG-Premier League,2020-21,Aston Villa,Carney Chukwuemeka,1,2020,71,9356,S,2,16,0,0.056043900549411774,0,0.056043900549411774,0,0.0,1,0,0,0,0.056043900549411774,0.0,ENG1
ENG-Premier League,2020-21,Aston Villa,Conor Hourihane,1,2020,71,7721,M S,4,236,1,0.5679541006684303,1,0.5679541006684303,1,0.919187881052494,5,5,0,0,0.6681756898760796,0.19055769592523575,ENG1
ENG-Premier League,2020-21,Aston Villa,Douglas Luiz,1,2020,71,6122,M S,33,2807,0,1.3188335429877043,0,1.3188335429877043,2,2.41814873740077,26,19,8,1,9.615896521136165,7.108104381710291,ENG1
ENG-Premier League,2020-21,Aston Villa,Emiliano Martinez,1,2020,71,4401,GK,38,3420,0,0.0,0,0.0,0,0.12292340397834778,0,2,1,0,3.7309096455574036,3.6079864501953125,ENG1
ENG-Premier League,2020-21,Aston Villa,Ezri Konsa Ngoyo,1,2020,71,7726,D S,36,3192,2,3.2915586698800325,2,3.2915586698800325,0,0.0931767001748085,22,2,3,0,3.4295510537922382,3.381944954395294,ENG1
ENG-Premier League,2020-21,Aston Villa,Jack Grealish,1,2020,71,675,F M S,26,2187,6,5.1926843244582415,6,5.1926843244582415,10,9.334138981997967,50,81,5,0,17.487467363476753,6.972044946625829,ENG1
ENG-Premier League,2020-21,Aston Villa,Jacob Ramsey,1,2020,71,8941,M S,22,593,0,0.5745481103658676,0,0.5745481103658676,0,0.21190819889307022,11,6,0,0,2.2276439275592566,1.694883331656456,ENG1
ENG-Premier League,2020-21,Aston Villa,Jaden Philogene-Bidace,1,2020,71,9415,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.056043900549411774,0.056043900549411774,ENG1
ENG-Premier League,2020-21,Aston Villa,John McGinn,1,2020,71,7723,M,37,3330,3,2.166595708578825,3,2.166595708578825,5,3.501758733764291,45,42,12,0,14.868273419328034,9.94562083017081,ENG1
ENG-Premier League,2020-21,Aston Villa,Keinan Davis,1,2020,71,1053,F S,15,240,1,1.268774088472128,1,1.268774088472128,1,0.6846188846975565,9,6,0,0,1.9646081924438477,0.3350831884890795,ENG1
ENG-Premier League,2020-21,Aston Villa,Kortney Hause,1,2020,71,6859,D,7,630,1,1.3037526831030846,1,1.3037526831030846,0,0.0,5,0,2,0,1.8043759763240814,1.8043759763240814,ENG1
ENG-Premier League,2020-21,Aston Villa,Marvelous Nakamba,1,2020,71,8040,M S,13,757,0,0.033083499409258366,0,0.033083499409258366,0,0.05933390185236931,2,2,3,0,0.8930104114115238,0.8114348081871867,ENG1
ENG-Premier League,2020-21,Aston Villa,Matt Targett,1,2020,71,884,D,38,3407,0,0.2803047075867653,0,0.2803047075867653,2,2.7996690925210714,6,39,7,0,9.610855117440224,8.203314462676644,ENG1
ENG-Premier League,2020-21,Aston Villa,Matthew Cash,1,2020,71,8864,D,28,2389,0,0.2478914987295866,0,0.2478914987295866,2,1.9056626800447702,9,21,6,1,6.591604145243764,5.0334585746750236,ENG1
ENG-Premier League,2020-21,Aston Villa,Morgan Sanson,1,2020,71,3696,M S,9,291,0,0.026357199996709824,0,0.026357199996709824,0,0.10845199972391129,2,1,3,0,0.30181339383125305,0.19336139410734177,ENG1
ENG-Premier League,2020-21,Aston Villa,Neil Taylor,1,2020,71,710,S,1,13,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,ENG1
ENG-Premier League,2020-21,Aston Villa,Ollie Watkins,1,2020,71,8865,F,37,3330,14,16.280176680535078,13,14.75783659145236,5,5.314029790461063,98,45,2,1,22.014022789895535,5.334985261783004,ENG1
ENG-Premier League,2020-21,Aston Villa,Ross Barkley,1,2020,71,592,M S,26,1574,3,3.69993400759995,3,3.69993400759995,1,4.319001067429781,39,40,0,0,9.89690613374114,3.7172500621527433,ENG1
