player_key,player,squad,src_league,pos,season,age,n_real_seasons,forecast_1y_eur,forecast_2y_eur
aaron anselmino,Aaron Anselmino,Strasbourg,FRA1,MF,2025-26,20.0,2,9988401.0,10175728.0
aaron connolly,Aaron Connolly,Brighton,ENG1,FW,2021-22,21.0,2,7306819.0,7717309.0
aaron cresswell,Aaron Cresswell,West Ham,ENG1,DF,2024-25,34.0,5,585867.0,414452.0
aaron escandell,Aarón Escandell,Oviedo,ESP1,GK,2025-26,29.0,4,1534782.0,1451486.0
aaron hickey,Aaron Hickey,Brentford,ENG1,DF,2026-27,24.0,6,16306278.0,13449321.0
aaron lennon,Aaron Lennon,Burnley,ENG1,MF,2021-22,34.0,1,771430.0,537103.0
aaron leya iseka,Aaron Leya Iseka,Metz,FRA1,FW,2020-21,23.0,1,3729193.0,4147094.0
aaron martin,Aaron Martin,Genoa,ITA1,DF,2025-26,28.0,7,3790951.0,3180040.0
aaron ramsdale,Aaron Ramsdale,Newcastle,ENG1,GK,2025-26,27.0,6,14264450.0,10708399.0
aaron ramsey,Aaron Ramsey,Burnley,ENG1,MF,2023-24,20.0,4,11352696.0,11345616.0
aaron wan bissaka,Aaron Wan-Bissaka,Aston Villa,ENG1,DF,2026-27,29.0,7,10530265.0,7117100.0
aaron zehnter,Aaron Zehnter,Wolfsburg,GER1,DF,2025-26,20.0,2,3572002.0,4184951.0
abass issah,Abass Issah,Mainz 05,GER1,FW,2020-21,21.0,1,1619476.0,2144200.0
abdallah sima,Abdallah Sima,Lens,FRA1,FW,2026-27,25.0,4,5935359.0,5753239.0
abdallahi mahmoud,Abdallahi Mahmoud,Alavés,ESP1,MF,2020-21,20.0,1,300000.0,400000.0
abde ezzalzouli,Abde Ezzalzouli,Real Betis,ESP1,FW,2026-27,25.0,5,21013961.0,16850554.0
abde rebbach,Abde Rebbach,Alavés,ESP1,DF,2026-27,28.0,4,1345138.0,1318100.0
abdel abqar,Abdel Abqar,Getafe,ESP1,DF,2026-27,27.0,4,3685311.0,3289501.0
abdelhamid sabiri,Abdelhamid Sabiri,Fiorentina,ITA1,MF,2025-26,29.0,3,1187257.0,1138732.0
abdellah raihani,Abdellah Raihani,Atlético Madrid,ESP1,FW,2023-24,19.0,1,896772.0,1200000.0
abdon prats,Abdón Prats,Mallorca,ESP1,FW,2025-26,32.0,5,786403.0,705032.0
abdou diallo,Abdou Diallo,RB Leipzig,GER1,DF,2022-23,26.0,3,14461873.0,11086941.0
abdou harroui,Abdou Harroui,Verona,ITA1,FW,2025-26,27.0,5,2209582.0,2279260.0
abdoul coulibaly,Abdoul Coulibaly,Werder Bremen,GER1,DF,2025-26,18.0,1,18024802.0,17105832.0
abdoul kader bamba,Abdoul Kader Bamba,Nantes,FRA1,MF,2023-24,29.0,3,1069433.0,1041932.0
abdoul ouattara,Abdoul Ouattara,Ipswich Town,ENG1,MF,2026-27,21.0,1,11821604.0,11483639.0
abdoulay diaby,Abdoulay Diaby,Getafe,ESP1,FW,2020-21,29.0,1,2409172.0,2210052.0
abdoulaye bakayoko,Abdoulaye Bakayoko,Saint-Etienne,FRA1,DF,2021-22,19.0,1,894451.0,1200000.0
abdoulaye bamba,Abdoulaye Bamba,Angers,FRA1,DF,2025-26,35.0,5,151239.0,119528.0
abdoulaye doucoure,Abdoulaye Doucouré,Everton,ENG1,MF,2024-25,31.0,5,6517697.0,4213422.0
abdoulaye faye,Abdoulaye Faye,Celta Vigo,ESP1,DF,2026-27,22.0,2,12600000.0,16800000.0
abdoulaye keita,Abdoulaye Keita,Getafe,ESP1,MF,2024-25,21.0,1,600000.0,800000.0
abdoulaye sidibe,Abdoulaye Sidibe,Saint-Etienne,FRA1,MF,2020-21,18.0,1,885517.0,1200000.0
abdoulaye sylla,Abdoulaye Sylla,Nantes,FRA1,DF,2021-22,21.0,2,493394.0,759899.0
abdoulaye toure,Abdoulaye Toure,Le Havre,FRA1,MF,2025-26,31.0,5,1729935.0,1364521.0
abdoulie ceesay,Abdoulie Ceesay,St Pauli,GER1,FW,2025-26,21.0,2,1316045.0,1797533.0
abdu conte,Abdu Conte,Troyes,FRA1,DF,2022-23,24.0,2,3463310.0,3603848.0
abdukodir khusanov,Abdukodir Khusanov,Manchester City,ENG1,DF,2026-27,22.0,3,37317537.0,29198216.0
abdul fatawu,Abdul Fatawu,Ipswich Town,ENG1,MF,2026-27,22.0,1,15498809.0,14067265.0
abdul fatawu issahaku,Abdul Fatawu Issahaku,Leicester City,ENG1,MF,2024-25,20.0,1,10142822.0,10309293.0
abdul mumin,Abdul Mumin,Rayo Vallecano,ESP1,DF,2025-26,27.0,3,3027581.0,2783290.0
abdulai juma bah,Abdulai Juma Bah,Valladolid,ESP1,DF,2024-25,18.0,1,6454550.0,7145627.0
abel bretones,Abel Bretones,Osasuna,ESP1,DF,2026-27,26.0,3,3343892.0,3193267.0
abel ruiz,Abel Ruiz,Girona,ESP1,FW,2025-26,25.0,2,3181041.0,3385839.0
ablie jallow,Ablie Jallow,Metz,FRA1,FW,2023-24,25.0,1,3040822.0,3258553.0
abner,Abner,Lyon,FRA1,DF,2025-26,29.0,3,5338145.0,3994951.0
aboubacar bassinga,Aboubacar Bassinga,Las Palmas,ESP1,MF,2024-25,19.0,1,300000.0,400000.0
aboubaka soumahoro,Aboubaka Soumahoro,Hamburger SV,GER1,MF,2025-26,20.0,1,2315712.0,2937486.0
aboubakar kamara,Aboubakar Kamara,Dijon,FRA1,FW,2020-21,25.0,2,2555212.0,2810576.0
abu kamara,Abu Kamara,Getafe,ESP1,MF,2025-26,22.0,1,3750698.0,4211642.0
achraf dari,Achraf Dari,Brest,FRA1,DF,2023-24,24.0,2,2417997.0,2655438.0
achraf hakimi,Achraf Hakimi,Paris Saint Germain,FRA1,DF,2026-27,28.0,7,45669084.0,26373977.0
adam armstrong,Adam Armstrong,Wolves,ENG1,FW,2025-26,28.0,4,7389416.0,6050436.0
adam aznou,Adam Aznou,Bayern Munich,GER1,DF,2024-25,18.0,2,4833394.0,5588157.0
adam boayar,Adam Boayar,Elche,ESP1,MF,2025-26,19.0,1,1744344.0,2349153.0
adam buksa,Adam Buksa,Udinese,ITA1,FW,2025-26,29.0,2,5171296.0,4230331.0
adam daghim,Adam Daghim,Hoffenheim,GER1,MF,2026-27,21.0,2,8933348.0,9050378.0
adam dzwigala,Adam Dźwigała,St Pauli,GER1,DF,2025-26,29.0,2,794249.0,791030.0
adam forshaw,Adam Forshaw,Leeds United,ENG1,MF,2022-23,30.0,2,1723977.0,1462137.0
adam hlozek,Adam Hložek,Hoffenheim,GER1,FW,2026-27,24.0,5,12310768.0,11089568.0
adam idah,Adam Idah,Norwich City,ENG1,FW,2021-22,20.0,1,4238847.0,4945199.0
adam kolle,Adam Kölle,Heidenheim,GER1,DF,2025-26,19.0,1,1995916.0,2599406.0
