player_key,season,market_value_eur
aaron anselmino,2024-25,8000000.0
aaron anselmino,2025-26,10000000.0
aaron anselmino,2026-27,10600000.0
aaron boupendza,2018-19,150000.0
aaron boupendza,2019-20,200000.0
aaron connolly,2019-20,4000000.0
aaron connolly,2020-21,7000000.0
aaron connolly,2021-22,6000000.0
aaron cresswell,2015-16,10000000.0
aaron cresswell,2016-17,12000000.0
aaron cresswell,2017-18,12000000.0
aaron cresswell,2018-19,10000000.0
aaron cresswell,2019-20,6500000.0
aaron cresswell,2020-21,5000000.0
aaron cresswell,2021-22,3000000.0
aaron cresswell,2022-23,3000000.0
aaron cresswell,2023-24,900000.0
aaron cresswell,2024-25,500000.0
aaron escandell,2016-17,200000.0
aaron escandell,2019-20,300000.0
aaron escandell,2020-21,1000000.0
aaron escandell,2021-22,1000000.0
aaron escandell,2023-24,1000000.0
aaron escandell,2025-26,3000000.0
aaron herzog,2017-18,100000.0
aaron herzog,2019-20,125000.0
aaron hickey,2020-21,5000000.0
aaron hickey,2021-22,18000000.0
aaron hickey,2022-23,18000000.0
aaron hickey,2023-24,28000000.0
aaron hickey,2024-25,10000000.0
aaron hickey,2025-26,16000000.0
aaron hickey,2026-27,16500000.0
aaron hunt,2015-16,3500000.0
aaron hunt,2016-17,1500000.0
aaron hunt,2017-18,1500000.0
aaron kamardin,2020-21,150000.0
aaron lennon,2015-16,6000000.0
aaron lennon,2016-17,5000000.0
aaron lennon,2017-18,5000000.0
aaron lennon,2018-19,5000000.0
aaron lennon,2019-20,2400000.0
aaron lennon,2021-22,1000000.0
aaron leya iseka,2016-17,1250000.0
aaron leya iseka,2018-19,3000000.0
aaron leya iseka,2019-20,2000000.0
aaron leya iseka,2020-21,2500000.0
aaron martin,2016-17,10000000.0
aaron martin,2017-18,12000000.0
aaron martin,2018-19,20000000.0
aaron martin,2019-20,10500000.0
aaron martin,2020-21,4500000.0
aaron martin,2021-22,5000000.0
aaron martin,2022-23,5000000.0
aaron martin,2026-27,4900000.0
aaron mattia tabacchi,2015-16,100000.0
aaron mattia tabacchi,2016-17,125000.0
aaron mattia tabacchi,2018-19,25000.0
aaron mayol,2025-26,50000.0
aaron mooy,2016-17,5000000.0
aaron mooy,2017-18,10000000.0
aaron mooy,2018-19,14000000.0
aaron mooy,2019-20,9500000.0
aaron ochoa,2026-27,870000.0
aaron ramsdale,2016-17,500000.0
aaron ramsdale,2017-18,500000.0
aaron ramsdale,2018-19,750000.0
aaron ramsdale,2019-20,12500000.0
aaron ramsdale,2020-21,12000000.0
aaron ramsdale,2021-22,28000000.0
aaron ramsdale,2022-23,28000000.0
aaron ramsdale,2023-24,25000000.0
aaron ramsdale,2024-25,16000000.0
aaron ramsdale,2025-26,12000000.0
aaron ramsey,2015-16,30000000.0
aaron ramsey,2016-17,35000000.0
aaron ramsey,2017-18,45000000.0
